name,gsis_id,rank,team,position,fumbles,pass_att,pass_comp,pass_ints,pass_tds,pass_2_pt,pass_yards,receptions,rec_tds,rec_2_pt,rec_yards,rush_att,rush_tds,rush_2_pt,rush_yards,kick_ret_tds,punt_ret_tds,fg_made_yards,made_pat,miss_pat,made_0_19,miss_0_19,made_20_29,miss_20_29,made_30_39,miss_30_39,made_40_49,miss_40_49,made_50_plus,miss_50_pluis,sacks,interceptions,fum_rec,safeties,def_tds,return_tds,pts_allowed
C.Newton,00-0027939,45,CAR,QB,1,473,292,13,24,0,3379,,,,,111,6,0,587,,,,,,,,,,,,,,,,,,,,,,
A.Ellington,00-0030287,46,ARI,RB,0,,,,,,,39,1,0,371,117,3,0,652,0,,,,,,,,,,,,,,,,,,,,,
W.Welker,00-0022427,47,DEN,WR,1,,,,,,,73,10,0,778,,,,,,0,,,,,,,,,,,,,,,,,,,,
A.Luck,00-0029668,48,IND,QB,2,572,345,9,23,4,3830,,,,,63,4,0,377,,,,,,,,,,,,,,,,,,,,,,
P.Harvin,00-0026998,49,SEA,WR,,,,,,,,1,0,0,17,,,,,0,,,,,,,,,,,,,,,,,,,,,
V.Davis,00-0024221,50,SF,TE,1,,,,,,,52,13,0,850,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Richardson,00-0029675,51,CLE,RB,1,,,,,,,35,1,0,316,188,3,0,563,,,,,,,,,,,,,,,,,,,,,,
T.Gerhart,00-0027888,52,MIN,RB,1,,,,,,,13,0,0,88,36,2,0,283,0,,,,,,,,,,,,,,,,,,,,,
M.Crabtree,00-0026986,53,SF,WR,,,,,,,,19,1,0,284,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Rice,00-0026195,54,BAL,RB,2,,,,,,,58,0,0,321,214,4,1,660,,,,,,,,,,,,,,,,,,,,,,
R.Jennings,00-0027155,55,OAK,RB,,,,,,,,36,0,0,292,164,6,0,733,,,,,,,,,,,,,,,,,,,,,,
T.Smith,00-0027996,56,BAL,WR,0,,,,,,,65,4,1,1128,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Johnson,00-0026164,57,TEN,RB,2,,,,,,,42,4,0,345,279,6,0,1077,,,,,,,,,,,,,,,,,,,,,,
S.Jackson,00-0022736,58,ATL,RB,,,,,,,,33,1,0,191,156,6,0,542,,,,,,,,,,,,,,,,,,,,,,
M.Floyd,00-0029638,59,ARI,WR,,,,,,,,66,5,0,1054,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Bell,00-0027218,60,DET,RB,3,,,,,,,53,0,1,547,166,8,0,650,0,,,,,,,,,,,,,,,,,,,,,
C.Patterson,00-0030578,61,MIN,WR,,,,,,,,45,4,0,469,12,3,0,158,2,,,,,,,,,,,,,,,,,,,,,
R.Griffin,00-0029665,62,WAS,QB,4,457,275,12,16,1,3211,,,,,88,0,1,484,,,,,,,,,,,,,,,,,,,,,,
N.Foles,00-0029567,63,PHI,QB,2,317,203,2,27,2,2891,,,,,56,3,0,225,,,,,,,,,,,,,,,,,,,,,,
J.Edelman,00-0027150,64,NE,WR,0,,,,,,,105,6,2,1056,2,0,0,11,,0,,,,,,,,,,,,,,,,,,,,
J.Maclin,00-0026995,65,PHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Vereen,00-0027994,66,NE,RB,0,,,,,,,47,3,0,427,44,1,0,208,0,,,,,,,,,,,,,,,,,,,,,
T.Hilton,00-0029608,67,IND,WR,0,,,,,,,83,5,0,1086,1,0,0,3,,0,,,,,,,,,,,,,,,,,,,,
S.Ridley,00-0028011,68,NE,RB,4,,,,,,,10,0,0,62,178,7,0,773,,,,,,,,,,,,,,,,,,,,,,
R.Wayne,00-0020498,69,IND,WR,,,,,,,,39,2,1,508,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Colston,00-0024466,70,NO,WR,,,,,,,,75,5,0,943,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Kaepernick,00-0027974,71,SF,QB,4,416,243,8,21,0,3197,,,,,95,4,0,521,,,,,,,,,,,,,,,,,,,,,,
B.Sankey,00-0031413,72,TEN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Sanders,00-0027685,73,PIT,WR,0,,,,,,,65,6,0,701,1,0,0,25,0,,,,,,,,,,,,,,,,,,,,,
G.Tate,00-0027891,74,SEA,WR,0,,,,,,,64,5,0,898,3,0,0,31,0,0,,,,,,,,,,,,,,,,,,,,
