name,gsis_id,rank,team,position,fumbles,pass_att,pass_comp,pass_ints,pass_tds,pass_2_pt,pass_yards,receptions,rec_tds,rec_2_pt,rec_yards,rush_att,rush_tds,rush_2_pt,rush_yards,kick_ret_tds,punt_ret_tds,fg_made_yards,made_pat,miss_pat,made_0_19,miss_0_19,made_20_29,miss_20_29,made_30_39,miss_30_39,made_40_49,miss_40_49,made_50_plus,miss_50_pluis,sacks,interceptions,fum_rec,safeties,def_tds,return_tds,pts_allowed
R.Gould,00-0023252,192,CHI,K,,,,,,,,,,,,,,,,,,539,45,1,,,11,,6,1,6,1,3,,,,,,,,
M.Tolbert,00-0026069,193,CAR,RB,0,,,,,,,27,2,0,184,101,5,0,361,,,,,,,,,,,,,,,,,,,,,,
Z.Ertz,00-0030061,194,PHI,TE,,,,,,,,36,4,0,469,,,,,0,,,,,,,,,,,,,,,,,,,,,
B.Hartline,00-0027077,195,MIA,WR,,,,,,,,74,4,0,1002,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Clay,00-0028112,196,MIA,TE,,,,,,,,67,5,0,737,7,1,0,15,0,,,,,,,,,,,,,,,,,,,,,
A.Dobson,00-0030540,197,NE,WR,0,,,,,,,37,4,0,519,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Bolden,00-0029239,198,NE,RB,,,,,,,,21,0,0,152,55,3,0,271,,,,,,,,,,,,,,,,,,,,,,
J.Cotchery,00-0022811,199,PIT,WR,,,,,,,,45,10,0,588,1,0,0,-5,,,,,,,,,,,,,,,,,,,,,,
K.Benjamin,00-0031359,200,CAR,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Gordon,00-0029664,201,CLE,WR,,,,,,,,87,9,0,1646,5,0,0,88,,,,,,,,,,,,,,,,,,,,,,
J.Grimes,00-0029510,202,HOU,RB,1,,,,,,,6,0,0,76,21,1,0,73,,,,,,,,,,,,,,,,,,,,,,
A.Gates,00-0021547,203,SD,TE,2,,,,,,,77,4,0,872,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Rainey,00-0029384,204,CLE,RB,1,1,0,0,0,0,0,15,1,0,46,150,5,0,566,0,,,,,,,,,,,,,,,,,,,,,
M.Williams,00-0027702,205,TB,WR,,,,,,,,22,2,0,216,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Roberts,00-0027691,206,ARI,WR,,,,,,,,43,2,0,471,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Taylor,00-0030282,207,ARI,RB,,,,,,,,8,0,0,71,36,0,0,115,,,,,,,,,,,,,,,,,,,,,,
J.Rodgers,00-0028083,208,ATL,RB,1,,,,,,,52,2,0,341,97,2,0,333,0,,,,,,,,,,,,,,,,,,,,,
J.McKinnon,00-0031376,209,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Wilson,00-0029251,210,NYG,RB,2,,,,,,,2,0,0,8,44,1,0,146,0,,,,,,,,,,,,,,,,,,,,,
B.Cunningham,00-0029795,211,STL,RB,1,,,,,,,6,0,0,59,47,1,1,261,0,,,,,,,,,,,,,,,,,,,,,
L.Green,00-0029275,212,SD,TE,0,,,,,,,17,3,0,376,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Fleener,00-0029697,213,IND,TE,0,,,,,,,52,4,2,608,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Thomas,00-0028000,214,MIA,RB,0,,,,,,,15,2,0,63,102,4,0,339,,,,,,,,,,,,,,,,,,,,,,
K.Britt,00-0027006,215,TEN,WR,,,,,,,,11,0,0,96,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Manuel,00-0030526,216,BUF,QB,3,306,180,9,11,2,1972,,,,,53,2,0,186,,,,,,,,,,,,,,,,,,,,,,
J.White,00-0031062,217,NE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Ebron,00-0031387,218,DET,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Simpson,00-0026186,219,MIN,WR,0,,,,,,,48,1,0,726,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Woods,00-0030431,220,BUF,WR,,,,,,,,40,3,1,587,2,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
J.Matthews,00-0031299,221,PHI,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Hillman,00-0029683,222,DEN,RB,1,,,,,,,12,0,0,119,55,1,0,218,,,,,,,,,,,,,,,,,,,,,,
A.Holmes,00-0028263,223,OAK,WR,0,,,,,,,25,1,0,431,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Douglas,00-0026224,224,ATL,WR,2,,,,,,,85,2,0,1067,,,,,,0,,,,,,,,,,,,,,,,,,,,
A.Brown,00-0027094,225,NYG,RB,3,,,,,,,20,0,0,103,139,3,1,492,,,,,,,,,,,,,,,,,,,,,,
I.Crowell,00-0030656,226,CLE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Floyd,00-0022414,227,SD,WR,,,,,,,,6,0,0,149,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Thompkins,00-0030000,228,NE,WR,,,,,,,,32,4,0,466,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Moore,00-0023310,229,NO,WR,1,,,,,,,37,2,0,457,,,,,,0,,,,,,,,,,,,,,,,,,,,
D.Robinson,00-0030547,230,JAX,WR,2,1,0,0,0,0,0,,,,,19,0,0,66,0,,,,,,,,,,,,,,,,,,,,,
N.Washington,00-0023367,231,TEN,WR,,,,,,,,58,3,0,919,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Jones,00-0029293,232,CIN,WR,,,,,,,,51,10,0,712,8,0,0,65,,,,,,,,,,,,,,,,,,,,,,
D.Avery,00-0026173,233,KC,WR,1,,,,,,,40,2,0,596,2,0,0,6,,,,,,,,,,,,,,,,,,,,,,
Houston.Texans,,234,HOU,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,7,4,1,1,1,390
J.Kearse,00-0029159,235,SEA,WR,1,,,,,,,22,4,0,346,,,,,0,,,,,,,,,,,,,,,,,,,,,
J.Randle,00-0030388,236,DAL,RB,,,,,,,,8,0,0,61,54,2,0,164,0,,,,,,,,,,,,,,,,,,,,,
R.Brown,00-0023437,237,SD,RB,,,,,,,,8,0,0,60,45,1,0,157,0,,,,,,,,,,,,,,,,,,,,,
H.Miller,00-0023465,238,PIT,TE,1,,,,,,,58,1,0,593,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Asiata,00-0028198,239,MIN,RB,1,,,,,,,5,0,0,13,44,3,0,166,0,,,,,,,,,,,,,,,,,,,,,
B.Powell,00-0028064,240,NYJ,RB,0,1,1,0,0,0,30,36,0,0,272,176,1,0,697,,,,,,,,,,,,,,,,,,,,,,
M.Brown,00-0030400,241,BAL,WR,,,,,,,,49,7,1,524,1,0,0,-2,,,,,,,,,,,,,,,,,,,,,,
S.Draughn,00-0028202,242,BAL,RB,,,,,,,,,,,,4,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
S.Bradford,00-0027854,243,STL,QB,1,262,159,4,14,0,1687,,,,,15,0,1,31,,,,,,,,,,,,,,,,,,,,,,
M.James,00-0030391,244,TB,RB,,1,1,0,1,0,2,10,0,0,43,60,0,0,295,,,,,,,,,,,,,,,,,,,,,,
D.Allen,00-0029689,245,IND,TE,,,,,,,,1,1,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Cadet,00-0029205,246,NO,RB,,,,,,,,2,1,0,5,,,,,0,0,,,,,,,,,,,,,,,,,,,,
J.Kerley,00-0028091,247,NYJ,WR,,1,0,0,0,0,0,43,3,0,523,4,0,0,11,0,0,,,,,,,,,,,,,,,,,,,,
S.Johnson,00-0031243,248,JAX,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Taliaferro,00-0031066,249,BAL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Smith,00-0030565,250,NYJ,QB,5,443,247,21,12,0,3046,1,0,0,13,72,6,0,366,,,,,,,,,,,,,,,,,,,,,,
D.Thomas,00-0031060,251,KC,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Royal,00-0026182,252,SD,WR,1,,,,,,,47,8,0,631,3,0,0,21,,0,,,,,,,,,,,,,,,,,,,,
T.Riddick,00-0030107,253,DET,RB,,,,,,,,4,0,0,26,9,1,0,25,0,,,,,,,,,,,,,,,,,,,,,
P.Hillis,00-0026367,254,NYG,RB,1,,,,,,,13,0,0,96,73,2,0,247,,,,,,,,,,,,,,,,,,,,,,
T.Ginn,00-0025396,255,CAR,WR,,,,,,,,36,5,0,556,4,0,0,29,0,0,,,,,,,,,,,,,,,,,,,,
R.Williams,00-0027976,256,DAL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Burleson,00-0021999,257,DET,WR,0,,,,,,,39,1,0,461,2,0,0,-8,,,,,,,,,,,,,,,,,,,,,,
J.Jernigan,00-0028021,259,NYG,WR,1,,,,,,,29,2,0,329,2,1,0,57,0,,,,,,,,,,,,,,,,,,,,,
J.Landry,00-0031382,260,MIA,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Seastrunk,00-0031078,261,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Eifert,00-0030549,262,CIN,TE,,,,,,,,39,2,0,445,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Locker,00-0027946,263,TEN,QB,1,183,111,4,8,0,1256,,,,,24,2,0,155,,,,,,,,,,,,,,,,,,,,,,
O.Daniels,00-0024313,264,HOU,TE,,,,,,,,24,3,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Givens,00-0029614,265,STL,WR,1,,,,,,,34,0,0,569,3,0,0,8,,,,,,,,,,,,,,,,,,,,,,
D.Adams,00-0031381,266,GB,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Baker,00-0029317,267,CLE,RB,,,,,,,,8,0,0,57,43,2,0,171,,,,,,,,,,,,,,,,,,,,,,
A.Seferian-Jenkins,00-0031418,268,TB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Amaro,00-0031042,269,NYJ,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Little,00-0027997,270,CLE,WR,,,,,,,,41,2,0,465,,,,,0,,,,,,,,,,,,,,,,,,,,,
C.Beasley,00-0029000,271,DAL,WR,,,,,,,,39,2,0,366,,,,,0,0,,,,,,,,,,,,,,,,,,,,
K.Barner,00-0030465,272,CAR,RB,,,,,,,,2,0,0,7,6,0,0,7,0,,,,,,,,,,,,,,,,,,,,,
J.Avant,00-0024324,273,PHI,WR,2,,,,,,,38,2,0,447,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Blue,00-0031075,274,HOU,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Herron,00-0029588,275,IND,RB,0,,,,,,,1,0,0,57,5,0,0,33,0,,,,,,,,,,,,,,,,,,,,,
S.Graham,00-0019536,276,NO,K,,,,,,,,,,,,,,,,,,40,7,0,,,1,,,,1,,,,,,,,,,
J.Forsett,00-0026373,277,JAX,RB,0,,,,,,,15,0,0,82,6,0,0,31,0,,,,,,,,,,,,,,,,,,,,,
D.Lewis,00-0028087,278,CLE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Cook,00-0027061,279,STL,TE,1,,,,,,,51,5,0,671,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Austin,00-0023921,280,DAL,WR,,,,,,,,24,0,0,244,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Bryant,00-0020578,281,ATL,K,,,,,,,,,,,,,,,,,,557,39,0,,,9,,7,1,5,,3,,,,,,,,
D.Harris,00-0028409,282,GB,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Robinson,00-0031428,283,JAX,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Gillislee,00-0030433,284,MIA,RB,,,,,,,,,,,,6,0,0,21,,,,,,,,,,,,,,,,,,,,,,
R.Griffin,00-0030108,285,HOU,TE,0,,,,,,,19,1,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Bryant,00-0031373,286,PIT,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Oliver,00-0031277,287,SD,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Wood,00-0030248,288,HOU,RB,,,,,,,,,,,,3,0,0,9,0,,,,,,,,,,,,,,,,,,,,,
M.Vick,00-0020245,289,PHI,QB,2,142,78,3,5,0,1216,,,,,38,2,0,293,,,,,,,,,,,,,,,,,,,,,,
G.Graham,00-0027718,290,HOU,TE,1,,,,,,,49,5,0,545,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Sanu,00-0029632,291,CIN,WR,1,1,1,0,0,0,25,47,2,0,455,4,0,0,16,,,,,,,,,,,,,,,,,,,,,,
M.Schaub,00-0022787,292,HOU,QB,1,358,219,14,10,0,2310,,,,,5,0,0,24,,,,,,,,,,,,,,,,,,,,,,
D.Archer,00-0031392,293,PIT,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Henery,00-0028058,294,PHI,K,,,,,,,,,,,,,,,,,,500,45,0,,,8,,7,1,7,3,1,,,,,,,,
C.Thompson,00-0030404,295,WAS,RB,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
A.Quarless,00-0027753,296,GB,TE,,,,,,,,32,2,0,312,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Brown,00-0028020,297,SD,WR,,,,,,,,42,1,0,472,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Succop,00-0026968,298,KC,K,,,,,,,,,,,,,,,,,,439,52,0,,,6,,9,1,6,2,1,,,,,,,,
C.Henne,00-0026197,299,JAX,QB,0,503,305,14,13,0,3241,,,,,26,0,0,77,,,,,,,,,,,,,,,,,,,,,,
Baltimore.Ravens,,300,BAL,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,16,8,,1,2,322
Cleveland.Browns,,301,CLE,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,14,7,,4,1,386
Pittsburgh.Steelers,,302,PIT,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,10,10,1,3,1,358
New York.Giants,,303,NYG,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,17,12,,3,,345
Philadelphia.Eagles,,304,PHI,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,19,12,2,2,,370
Detroit.Lions,,305,DET,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,15,7,2,2,2,352
Indianapolis.Colts,,306,IND,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,15,12,2,2,,322
Chicago.Bears,,307,CHI,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,19,9,,6,1,434
Oakland.Raiders,,308,OAK,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,9,13,,4,,435
Jacksonville.Jaguars,,309,JAX,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,11,10,3,2,,425
Green Bay.Packers,,310,GB,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,11,11,,3,1,402
Tennessee.Titans,,311,TEN,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,13,12,,3,,359
New York.Jets,,312,NYJ,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,13,2,1,2,,351
Atlanta.Falcons,,313,ATL,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,10,11,,3,,419
Miami.Dolphins,,314,MIA,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,18,6,1,2,,321
Minnesota.Vikings,,315,MIN,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,12,8,,1,3,456
Washington.Redskins,,316,WAS,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,16,10,,5,,464
San Diego.Chargers,,317,SD,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,11,6,,1,,330
Dallas.Cowboys,,318,DAL,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,15,13,,5,1,432
J.Feely,00-0019770,,ARI,K,,,,,,,,,,,,,,,,,,519,37,0,,,9,2,7,1,11,1,3,,,,,,,,
D.Carpenter,00-0026003,,BUF,K,,,,,,,,,,,,,,,,,,610,32,0,,,13,,6,,10,1,4,,,,,,,,
G.Gano,00-0026858,,CAR,K,,,,,,,,,,,,,,,,,,573,42,0,,,9,,4,1,5,2,6,,,,,,,,
M.Nugent,00-0023482,,CIN,K,,,,,,,,,,,,,,,,,,446,52,1,,,2,,6,1,7,2,3,,,,,,,,
B.Cundiff,00-0020972,,CLE,K,,,,,,,,,,,,,,,,,,557,32,0,,,7,,5,1,7,2,2,,,,,,,,
D.Akers,00-0000108,,DET,K,,,,,,,,,,,,,,,,,,469,42,1,1,,5,,6,2,4,3,3,,,,,,,,
R.Bullock,00-0029421,,HOU,K,,,,,,,,,,,,,,,,,,635,26,0,1,,7,,5,,12,5,1,,,,,,,,
J.Scobee,00-0022874,,JAX,K,,,,,,,,,,,,,,,,,,588,22,1,,,3,,12,,4,1,4,,,,,,,,
C.Sturgis,00-0030390,,MIA,K,,,,,,,,,,,,,,,,,,560,33,0,1,,4,,10,2,8,2,3,,,,,,,,
J.Brown,00-0021940,,NYG,K,,,,,,,,,,,,,,,,,,358,31,0,,,8,,7,1,7,1,1,,,,,,,,
S.Janikowski,00-0019646,,OAK,K,,,,,,,,,,,,,,,,,,434,37,0,,,6,,4,2,8,3,3,,,,,,,,
S.Suisham,00-0023001,,PIT,K,,,,,,,,,,,,1,0,0,-12,,,509,39,0,,,9,,13,2,8,,,,,,,,,,
G.Zuerlein,00-0029621,,STL,K,,,,,,,,,,,,,,,,,,555,34,0,,,7,,10,,8,1,1,,,,,,,,
R.Lindell,00-0019310,,TB,K,,,,,,,,,,,,,,,,,,591,31,0,,,3,,12,2,4,2,4,,,,,,,,
R.Bironas,00-0020962,,TEN,K,,,,,,,,,,,,,,,,,,507,41,0,,,10,,8,1,5,2,2,,,,,,,,
K.Forbath,00-0028787,,WAS,K,,,,,,,,,,,,,,,,,,410,26,0,,,3,1,10,,4,2,1,,,,,,,,
L.Thomas,00-0031260,,ARI,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Taylor,00-0028118,,BAL,QB,,5,1,1,0,0,2,1,0,0,6,8,0,0,64,,,,,,,,,,,,,,,,,,,,,,
B.Hoyer,00-0026625,,CLE,QB,,96,57,3,5,0,615,,,,,6,0,0,16,,,,,,,,,,,,,,,,,,,,,,
B.Bortles,00-0031407,,JAX,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Bridgewater,00-0031237,,MIN,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Cassel,00-0023662,,MIN,QB,1,254,153,9,11,0,1807,,,,,18,1,0,57,,,,,,,,,,,,,,,,,,,,,,
R.Fitzpatrick,00-0023682,,TEN,QB,2,350,217,12,14,0,2454,1,0,0,0,43,3,0,225,,,,,,,,,,,,,,,,,,,,,,
L.James,00-0029260,,SF,RB,0,,,,,,,2,0,0,16,12,0,0,59,0,0,,,,,,,,,,,,,,,,,,,,
J.Demps,00-0029722,,TB,RB,,,,,,,,3,0,0,21,1,0,0,14,0,,,,,,,,,,,,,,,,,,,,,
J.Gresham,00-0027873,,CIN,TE,3,,,,,,,46,4,0,461,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Escobar,00-0030544,,DAL,TE,0,,,,,,,9,2,0,134,,,,,0,,,,,,,,,,,,,,,,,,,,,
J.Tamme,00-0026267,,DEN,TE,,,,,,,,20,1,0,184,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Dreessen,00-0023630,,DEN,TE,,,,,,,,7,1,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Fauria,00-0029883,,DET,TE,,,,,,,,18,7,1,207,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Pettigrew,00-0026996,,DET,TE,1,,,,,,,41,2,0,416,,,,,,,,,,,,,,,,,,,,,,,,,,
Z.Sudfeld,00-0029999,,NYJ,TE,,,,,,,,5,0,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Holliday,00-0027606,,DEN,WR,2,,,,,,,,,,,1,0,0,7,1,1,,,,,,,,,,,,,,,,,,,,
D.Heyward-Bey,00-0026983,,IND,WR,,,,,,,,29,1,1,309,3,0,0,26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Tuel,00-0030024,,BUF,QB,,59,26,3,1,0,309,,,,,3,0,0,17,,,,,,,,,,,,,,,,,,,,,,
T.Lewis,00-0027253,,BUF,QB,3,157,93,3,4,0,1092,,,,,24,1,0,52,,,,,,,,,,,,,,,,,,,,,,
D.Anderson,00-0023645,,CAR,QB,,,,,,,,,,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,
J.Johnson,00-0026300,,CIN,QB,0,,,,,,,,,,,7,0,0,20,,,,,,,,,,,,,,,,,,,,,,
B.Weeden,00-0029677,,CLE,QB,2,267,141,9,9,1,1731,,,,,12,0,0,44,,,,,,,,,,,,,,,,,,,,,,
J.Campbell,00-0023460,,CLE,QB,2,316,180,7,11,0,2015,,,,,13,0,0,107,,,,,,,,,,,,,,,,,,,,,,
B.Osweiler,00-0029682,,DEN,QB,,16,11,0,0,0,95,,,,,3,0,0,2,,,,,,,,,,,,,,,,,,,,,,
S.Hill,00-0020679,,DET,QB,,,,,,,,,,,,2,0,0,-2,,,,,,,,,,,,,,,,,,,,,,
S.Tolzien,00-0028595,,GB,QB,,90,55,5,1,0,717,,,,,5,1,0,55,,,,,,,,,,,,,,,,,,,,,,
S.Wallace,00-0022055,,GB,QB,,24,16,1,0,0,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Yates,00-0028090,,HOU,QB,0,20,14,2,0,0,113,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
C.Keenum,00-0028986,,HOU,QB,2,253,137,6,9,0,1760,,,,,14,1,0,72,,,,,,,,,,,,,,,,,,,,,,
M.Hasselbeck,00-0007091,,IND,QB,,12,7,1,0,0,130,,,,,2,0,0,-2,,,,,,,,,,,,,,,,,,,,,,
B.Gabbert,00-0027948,,JAX,QB,0,86,42,7,1,0,481,,,,,9,0,0,32,,,,,,,,,,,,,,,,,,,,,,
C.Daniel,00-0026544,,KC,QB,,38,25,1,1,0,248,,,,,15,0,0,51,,,,,,,,,,,,,,,,,,,,,,
Mat.Moore,00-0025708,,MIA,QB,0,6,2,2,0,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Ponder,00-0027950,,MIN,QB,4,239,152,9,7,0,1648,,,,,34,4,0,151,,,,,,,,,,,,,,,,,,,,,,
Jo.Webb,00-0027796,,MIN,QB,,,,,,,,5,0,0,33,,,,,0,,,,,,,,,,,,,,,,,,,,,
L.McCown,00-0022864,,NO,QB,,1,0,0,0,0,0,,,,,3,0,0,-4,,,,,,,,,,,,,,,,,,,,,,
C.Painter,00-0027134,,NYG,QB,0,16,8,2,0,0,57,,,,,3,0,0,-2,,,,,,,,,,,,,,,,,,,,,,
M.Simms,00-0029151,,NYJ,QB,1,31,16,1,1,0,156,,,,,5,0,0,37,,,,,,,,,,,,,,,,,,,,,,
T.Pryor,00-0028825,,OAK,QB,2,271,156,11,7,0,1797,,,,,82,2,0,580,,,,,,,,,,,,,,,,,,,,,,
M.Flynn,00-0026349,,OAK,QB,5,200,124,5,8,0,1392,,,,,19,0,0,66,,,,,,,,,,,,,,,,,,,,,,
M.McGloin,00-0030419,,OAK,QB,1,212,118,8,8,0,1547,,,,,11,0,0,27,,,,,,,,,,,,,,,,,,,,,,
M.Barkley,00-0030533,,PHI,QB,1,49,30,4,0,0,300,,,,,2,0,0,-2,,,,,,,,,,,,,,,,,,,,,,
C.Whitehurst,00-0024296,,SD,QB,,,,,,,,,,,,6,0,0,-5,,,,,,,,,,,,,,,,,,,,,,
T.Jackson,00-0024279,,SEA,QB,,13,10,0,1,0,151,,,,,4,1,0,1,,,,,,,,,,,,,,,,,,,,,,
C.McCoy,00-0027688,,SF,QB,,1,1,0,0,0,13,,,,,3,0,0,-3,,,,,,,,,,,,,,,,,,,,,,
K.Clemens,00-0024264,,STL,QB,4,242,142,7,8,1,1673,,,,,23,0,0,64,,,,,,,,,,,,,,,,,,,,,,
M.Glennon,00-0030520,,TB,QB,4,416,247,9,19,0,2608,,,,,27,0,0,37,,,,,,,,,,,,,,,,,,,,,,
J.Freeman,00-0026993,,TB,QB,1,147,63,4,2,0,761,,,,,5,0,0,20,,,,,,,,,,,,,,,,,,,,,,
K.Cousins,00-0029604,,WAS,QB,2,155,81,7,4,0,854,,,,,4,0,0,14,,,,,,,,,,,,,,,,,,,,,,
J.Snelling,00-0025631,,ATL,RB,0,,,,,,,29,3,0,216,44,1,0,164,0,,,,,,,,,,,,,,,,,,,,,
V.Leach,00-0022397,,BAL,RB,0,,,,,,,11,1,0,47,11,0,0,23,0,,,,,,,,,,,,,,,,,,,,,
T.Fiammetta,00-0027093,,CHI,RB,,,,,,,,4,0,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Kuhn,00-0022999,,GB,RB,1,,,,,,,13,0,0,81,10,1,0,38,0,0,,,,,,,,,,,,,,,,,,,,
S.Havili,00-0028178,,IND,RB,,,,,,,,18,1,0,128,7,0,0,7,,,,,,,,,,,,,,,,,,,,,,
T.Clutts,00-0027917,,MIA,RB,1,,,,,,,1,0,0,4,,,,,0,,,,,,,,,,,,,,,,,,,,,
H.Hynoski,00-0028492,,NYG,RB,,,,,,,,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Stewart,00-0029441,,OAK,RB,,,,,,,,2,0,0,6,2,1,0,2,0,,,,,,,,,,,,,,,,,,,,,
L.McClain,00-0025524,,SD,RB,,,,,,,,2,0,0,-7,11,0,0,32,,,,,,,,,,,,,,,,,,,,,,
D.Young,00-0026852,,WAS,RB,,,,,,,,4,1,0,71,12,3,0,41,,,,,,,,,,,,,,,,,,,,,,
A.Smith,00-0026855,,ATL,RB,,,,,,,,2,0,0,10,5,2,0,145,,,,,,,,,,,,,,,,,,,,,,
J.Vaughan,00-0026644,,ATL,RB,,,,,,,,2,0,0,7,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,
K.Juszczyk,00-0029892,,BAL,RB,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
R.Wingo,00-0029791,,BUF,RB,,,,,,,,1,0,0,2,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,
T.Choice,00-0026262,,BUF,RB,0,,,,,,,5,0,0,15,46,0,0,170,0,,,,,,,,,,,,,,,,,,,,,
M.Ford,00-0030134,,CHI,RB,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
M.Bush,00-0025487,,CHI,RB,,,,,,,,4,1,0,48,63,3,0,197,,,,,,,,,,,,,,,,,,,,,,
C.Peerman,00-0026932,,CIN,RB,0,,,,,,,,,,,8,0,0,17,0,,,,,,,,,,,,,,,,,,,,,
